id,name,owner,address,phone,raw_category_name,home_page,independent,linkedIn,facebook,twitter,load_time,scrape_time
1805,David N Grimes,Original load omitted,None` None` None None,, Individual Members,,NULL,,NULL,,2020-10-21 20:25:21,0000-00-00 00:00:00
8054, 20/20 Window Cleaning of NC Inc,Original load omitted, 3107 Southall Rd. Raleigh NC 27604, (919) 255-1220, Window-Cleaning,http://www.2020wcofnc.com,NULL, https://web.raleighchamber.org/external/wcpages/referral.aspx?URL=https%3a%2f%2fwww.linkedin.com%2fin%2fjack-evans-66886066%2f&ReferralType=SNLI&ProfileID=26595,NULL,,2020-10-21 20:25:50,0000-00-00 00:00:00
6149, 2U Laundry,Original load omitted, 4444 South Boulevard Charlotte NC 28209, 704.907.3360, Dry-Cleaning,http://www.2ulaundry.com,NULL, https://web.raleighchamber.org/external/wcpages/referral.aspx?URL=https%3a%2f%2fwww.linkedin.com%2fcompany%2f2u-laundry&ReferralType=SNLI&ProfileID=233546,NULL,,2020-10-21 20:25:41,0000-00-00 00:00:00
7729, 42nd St. Oyster Bar/Fat Daddy's  Inc.,Original load omitted, 508 W. Jones Street Raleigh NC 27603, (919) 831-2811, Restaurants,http://www.42ndstoysterbar.com,NULL, Linkedin link not found,NULL,,2020-10-21 20:25:49,0000-00-00 00:00:00
5423, 511 Faye,Original load omitted, 511 Fayetteville Street Raleigh NC 27601, 919.438.1670, Apartment-Community,http://511Faye.com,NULL, Linkedin link not found,NULL,,2020-10-21 20:25:38,0000-00-00 00:00:00
7550, 5401 North,Original load omitted, EV-5401 North LLC  C/O JPM South Development Raleigh NC 27615-3244 7208 Falls of Neuse Rd  Ste 101, (919) 981-5451, Real-Estate-Development,http://5401north.com/,NULL, https://web.raleighchamber.org/external/wcpages/referral.aspx?URL=https%3a%2f%2fwww.linkedin.com%2fshowcase%2f5401-north%2f&ReferralType=SNLI&ProfileID=179525,NULL,,2020-10-21 20:25:48,0000-00-00 00:00:00
5399, 6AM City,Original load omitted, 310 S. Harrington Street Raleigh NC 27603 Suite 117, (864) 735-8590, Advertising-Media,https://raltoday.6amcity.com/,NULL, https://web.raleighchamber.org/external/wcpages/referral.aspx?URL=https%3a%2f%2fwww.linkedin.com%2fcompany%2f6am-city%2f&ReferralType=SNLI&ProfileID=231741,NULL,,2020-10-21 20:25:38,0000-00-00 00:00:00
5400, 9miles Media,Original load omitted, 16 W Martin St Raleigh NC 27601 Ste 806, (919) 809-9514, Advertising-Agency,https://9milesmedia.com,NULL, https://web.raleighchamber.org/external/wcpages/referral.aspx?URL=https%3a%2f%2fwww.linkedin.com%2fcompany%2f9miles-media&ReferralType=SNLI&ProfileID=227757,NULL,,2020-10-21 20:25:38,0000-00-00 00:00:00
6683, A Family Friend LLC,Original load omitted, 702 North Person Street Raleigh NC 27604, 919.626.4917, Homecare-Services,http://afamilyfriend01.com,NULL, Linkedin link not found,NULL,,2020-10-21 20:25:44,0000-00-00 00:00:00
6205, A K Empire Electrical Company,Original load omitted, 8384 Six Forks Rd Raleigh NC 27615 # 204, (919) 787-7166, Electrical-Contractor,http://www.aandksempireelectric.com,NULL, Linkedin link not found,NULL,,2020-10-21 20:25:42,0000-00-00 00:00:00
6137, A+ Tree & Crane Service  Inc,Original load omitted, PO Box 10486 Raleigh NC 27605, (919) 854-0020, Disaster-Recovery,http://www.aplustrees.com,NULL, https://web.raleighchamber.org/external/wcpages/referral.aspx?URL=http%3a%2f%2fwww.linkedin.com%2fin%2faplustrees&ReferralType=SNLI&ProfileID=44186,NULL,,2020-10-21 20:25:41,0000-00-00 00:00:00
6385, A-Vision Productions,Original load omitted, 1625 Alderman Circle Raleigh NC 27603, 919.675.2640, Event-Management,http://www.avisionprod.com,NULL, Linkedin link not found,NULL,,2020-10-21 20:25:43,0000-00-00 00:00:00
7212, A.J. Fletcher Foundation,Original load omitted, 919 Glenwood Ave. Raleigh NC 27605, (919) 322-2580, Nonprofit-Organizations,http://www.ajf.org,NULL, Linkedin link not found,NULL,,2020-10-21 20:25:47,0000-00-00 00:00:00
6119, A.L. Neyer,Original load omitted, 3737 Glenwood Avenue Raleigh NC 27612 Suite 100, 919.538.0493, Design-Build,http://www.neyer.com,NULL, https://web.raleighchamber.org/external/wcpages/referral.aspx?URL=https%3a%2f%2fwww.linkedin.com%2fcompany%2fal--neyer-inc-%2f&ReferralType=SNLI&ProfileID=230117,NULL,,2020-10-21 20:25:41,0000-00-00 00:00:00
6496, A1 Floors,Original load omitted, 1129 Corporation Parkway  Suite 111 Raleigh NC 27610, 919.921.8500, Flooring,http://www.a1floorsnc.com,NULL, https://web.raleighchamber.org/external/wcpages/referral.aspx?URL=https%3a%2f%2fwww.linkedin.com%2fcompany%2fa1-floors%2f&ReferralType=SNLI&ProfileID=222695,NULL,,2020-10-21 20:25:43,0000-00-00 00:00:00
7998, AAA Travel Agency,Original load omitted, 2301 Blue Ridge Road Raleigh NC 27607, (919) 832-0543, Travel-Agencies-Bureaus,http://www.aaa.com,NULL, Linkedin link not found,NULL,,2020-10-21 20:25:50,0000-00-00 00:00:00
